#{"t_start": 1773366505.005306, "env_id": "Humanoid-v4"}
r,l,t
393.404602,74,373.264955
421.966353,91,374.659325
582.489478,114,376.393609
390.929757,72,377.481639
437.577541,91,378.888867
326.647458,62,379.769646
399.85547,76,381.177098
303.482406,59,382.156419
447.501552,87,383.564327
571.683056,120,385.332194
353.08618,68,386.290588
365.176708,67,387.226421
273.181573,58,388.010728
489.187207,105,389.560782
439.508268,85,390.772778
359.032857,68,391.815645
344.834554,68,392.812109
469.613589,92,394.222045
457.620976,84,395.438354
583.414026,111,397.219801
458.746859,80,398.625573
371.864657,68,400.025996
454.436861,83,401.590067
385.17196,72,402.924819
409.42888,75,404.409759
476.188455,99,406.632886
463.67051,82,408.322219
306.461757,58,409.402175
293.340734,55,410.3948
369.101954,69,411.635919
447.624968,85,412.987411
321.365115,59,414.063281
565.211925,103,415.94562
515.38363,101,417.60897
407.027591,75,418.892579
573.053786,108,420.441126
402.398506,74,421.4953
428.674411,78,422.59274
545.538906,104,424.224304
545.434007,98,425.725685
596.353766,113,427.427786
576.144424,108,428.996387
664.264591,127,431.399766
550.481572,104,433.656869
320.717363,71,434.735667
432.456598,84,436.03573
489.445887,94,437.412261
531.784013,104,438.925611
433.002317,80,440.08966
419.434093,78,441.174342
472.260063,89,442.444613
502.408897,94,443.828254
393.356814,73,444.813271
536.40968,99,446.194093
424.837188,78,447.397107
809.841684,152,449.51109
524.86745,99,450.912983
519.748715,95,452.289895
349.92998,69,453.287836
330.241288,62,454.1096
441.354867,86,455.325932
525.280013,101,456.740777
556.983145,105,458.255115
590.399977,115,459.870144
527.36851,116,461.701021
659.093553,129,463.782074
502.255243,102,465.344092
477.680347,106,467.130639
442.944861,83,468.424023
269.433843,59,469.262621
524.080062,103,470.963588
622.477768,130,473.101801
350.543555,73,474.225946
544.394846,104,475.763925
721.408991,148,478.134273
414.414692,91,479.623814
615.108116,135,481.900652
407.515485,84,483.299278
551.190907,105,485.042788
730.869304,140,487.232598
592.564261,115,489.073508
393.876102,86,490.33246
561.54816,116,491.963964
538.314342,100,493.403509
593.000479,110,494.945757
559.501942,121,496.603548
410.505759,87,497.843785
495.109933,108,499.441132
442.367156,97,500.767968
536.35718,109,502.30394
461.606542,95,503.69157
415.909058,91,504.989341
410.336624,91,506.298216
619.760587,116,508.08976
397.952199,79,509.181394
445.776179,85,510.416869
435.085558,96,512.062374
420.236388,91,513.605304
526.82757,104,515.172238
303.832786,66,516.147385
556.445872,121,518.105615
366.24679,77,519.277005
314.680762,67,520.251387
394.118741,79,521.415062
760.720927,144,523.544571
289.365955,60,524.38444
324.845966,69,525.56437
387.760681,80,526.772549
350.783974,76,527.872398
367.577844,78,528.971744
294.87548,64,529.842424
347.327597,71,530.829949
648.54826,122,532.519155
374.321933,74,533.551179
468.885001,93,534.860603
416.288324,81,535.981456
408.617234,78,537.049924
796.458364,169,539.411395
444.58588,83,540.60255
448.396043,85,541.77778
543.26532,102,543.189766
491.704019,97,544.519016
332.184974,66,545.465015
576.518225,122,547.147626
385.288481,80,548.251842
614.811198,130,550.096094
437.200485,97,551.433984
356.412607,78,552.491239
665.964514,126,554.237485
517.914695,115,555.988878
386.70183,84,557.27818
518.264146,111,558.795949
569.421966,114,560.490937
280.023666,60,561.35722
297.262736,68,562.328342
348.741062,69,563.318141
266.171956,59,564.142198
599.345481,120,565.950313
660.318014,136,568.278631
317.103156,70,569.302242
317.833741,69,570.285781
365.306912,77,571.488833
214.609192,46,572.137346
645.021924,126,573.925177
407.310378,92,575.232621
317.19011,72,576.269799
208.624342,44,576.868501
357.610841,79,577.964765
597.88932,129,579.881368
562.836777,109,581.416236
327.706646,72,582.406498
305.090292,70,583.367877
409.227963,92,584.71922
500.939667,109,586.279331
309.782706,69,587.233089
380.807493,86,588.412732
321.282815,71,589.382483
385.636161,84,590.574366
410.605901,85,591.753589
495.524353,109,593.253909
449.222429,87,594.473392
511.212418,97,595.85726
399.572327,87,597.054139
408.516824,88,598.270263
500.479282,90,599.502634
585.367748,110,601.033723
872.528185,169,603.452824
392.055993,85,604.623398
379.310019,80,606.367253
418.16615,86,607.586529
579.50712,127,609.45658
387.123248,85,610.780271
289.617231,61,611.761515
478.650865,97,613.229136
573.381345,112,614.919713
419.371238,79,616.180703
419.513032,75,617.335543
375.891699,84,618.663896
563.63824,122,620.487735
478.258075,89,621.786014
416.428136,90,623.048113
467.892386,94,624.387355
418.505407,86,625.629323
520.306121,104,627.118408
346.084021,71,628.125211
335.76812,66,629.125143
425.20928,95,630.530672
359.733806,82,631.698989
479.732786,106,633.240121
631.354583,125,635.223295
415.908216,79,636.344484
494.033678,94,637.676826
380.916296,83,638.86712
337.673004,68,639.940101
1277.469669,271,643.729602
340.772134,75,644.865544
569.159199,110,646.360944
476.082055,104,647.903605
502.968887,100,649.359986
767.055329,148,651.473348
335.86574,63,652.352521
547.650154,121,654.041923
546.818933,108,655.514036
633.959343,118,657.160305
291.046073,64,658.035162
379.977554,86,659.223771
365.575339,79,660.274683
536.018562,101,661.652146
438.230617,89,662.872579
432.089024,82,663.984133
654.085112,129,665.749263
491.171972,94,667.046798
553.773071,116,668.63118
586.466642,117,670.220702
524.692272,113,671.745678
540.617798,102,673.19824
372.21395,72,674.258324
537.444786,107,675.868547
435.566308,94,677.260122
528.201934,115,678.926352
729.706621,150,681.146412
523.59323,113,682.8688
447.309591,82,684.207843
395.582399,77,685.607385
566.052951,108,687.300481
371.816663,80,688.429459
492.880356,93,689.808549
680.789419,135,691.8685
339.40905,72,692.987646
741.534788,138,695.117759
321.706878,71,696.236054
426.921066,96,697.749512
458.988211,88,699.159219
487.017782,90,700.71244
521.298408,113,702.437284
606.271868,115,704.138852
443.605939,79,705.250874
470.092576,84,706.619395
618.771971,116,708.493188
538.623332,100,709.987594
622.81866,124,712.001881
637.65157,120,713.839075
413.372152,77,714.986808
464.641678,93,716.376875
564.527651,103,717.815488
530.696603,98,719.359447
619.458524,114,721.179023
445.737553,82,722.488351
572.179948,103,724.138153
524.692951,106,725.896898
458.981307,102,727.478986
483.623464,90,728.81667
796.270454,151,731.108094
361.257892,71,732.189111
582.83529,106,733.749688
460.924531,88,734.981938
409.359692,81,736.123442
432.104725,85,737.291553
592.915457,110,738.775445
541.834775,98,740.10064
677.971201,121,741.782766
468.113307,85,742.949742
500.268556,96,744.261986
508.620738,90,745.481583
634.765009,126,747.207287
465.181511,86,748.408571
338.829577,63,749.492432
588.964991,108,751.161342
428.432094,79,752.302177
438.820369,80,753.503566
502.583454,95,754.928738
445.709526,81,756.107807
614.230257,115,757.78236
354.585411,65,758.768852
497.843582,90,760.212079
517.993544,103,761.920613
398.501894,77,763.066778
674.344403,124,765.144201
812.571061,151,767.391141
536.508318,108,768.976237
568.306227,113,770.587324
314.441026,59,771.41745
345.327128,64,772.302644
865.419776,164,774.802648
424.51818,78,776.017778
879.881777,168,778.45697
492.279388,89,779.701771
469.346583,87,780.943754
408.418619,77,782.103428
463.443946,86,783.375913
426.402453,77,784.531213
565.38743,102,786.113331
499.752929,109,787.713036
473.78948,87,789.045692
549.757993,102,790.616024
544.424557,115,792.260936
469.264747,88,793.4559
456.830738,88,794.676576
572.855881,108,796.160135
469.783033,87,797.493802
406.565835,82,798.660449
517.076752,105,800.171434
891.522977,166,802.480563
450.438619,85,803.717976
404.383658,77,804.959704
532.428092,114,806.640698
291.000938,59,807.468126
590.211568,128,809.237428
731.764255,151,811.72343
522.662472,112,813.415608
563.900563,108,815.163511
620.876931,131,817.204194
447.571638,98,818.577822
480.483669,96,820.058778
457.207033,89,821.445062
640.410323,124,823.330845
360.310748,78,824.499952
617.444091,116,826.296503
567.854926,120,828.219418
442.339623,94,829.781883
405.670363,87,831.027734
405.407771,85,832.235526
554.129499,112,833.812497
